g1	g2	g3	g4	g5	g6	g7	spam
0.0004554433962264151	0.0	0.003844982300884956	0.0	0.0006896500000000001	0.002736967741935484	0.0002972844827586207	1.0
0.0014390754716981132	0.0	0.018899008849557523	0.0	0.005084741666666667	0.014762129032258065	0.0	1.0
0.0004554433962264151	0.0	0.003844982300884956	0.0	0.0006896500000000001	0.002736967741935484	0.0002972844827586207	1.0
0.0004564905660377359	0.0	0.001284690265486726	0.0008961111111111112	0.00047045833333333336	0.0010156774193548388	0.00020857758620689657	1.0
0.0013163679245283017	0.0	0.017493327433628317	0.0	0.004651166666666666	0.01360190322580645	0.0	1.0
0.0007100849056603774	0.0	0.009420522123893806	0.0	0.001344091666666667	0.007284096774193549	0.00018539655172413795	1.0
0.0003208962264150944	0.00034015	0.0012040707964601771	0.0003779444444444444	0.00011338333333333333	0.001299741935483871	0.0005864568965517242	1.0
0.00023584905660377356	0.0	0.0021386814159292033	0.0	0.00055555	0.002204548387096774	0.0005028620689655173	1.0
0.00016697169811320754	0.0	0.0022711150442477875	0.0	0.0005899833333333334	0.0023828709677419352	0.0007629137931034482	1.0
0.00022462264150943399	0.0	0.0031606194690265493	0.0	0.0007936666666666667	0.0024014838709677418	0.00020525862068965518	1.0
0.0005549433962264151	0.0	0.00520566371681416	0.0	0.0013072000000000001	0.0037950967741935487	0.0	1.0
0.00036007547169811314	0.0	0.0012160353982300883	0.0008482222222222222	0.00044531666666666666	0.0012151935483870968	0.0001974310344827586	1.0
0.0004879622641509434	0.0	0.006408283185840708	0.0	0.001580458333333333	0.011259838709677419	0.0	1.0
0.0005896226415094339	0.0	0.003042088495575221	0.00043400000000000003	0.0009114666666666666	0.003028225806451613	0.0004714137931034483	1.0
0.0007599999999999999	0.0	0.00017208849557522125	0.0016975555555555554	4.63e-05	0.0003149354838709678	0.00045500862068965524	1.0
0.0006861132075471698	0.0	0.0025744424778761064	0.0	0.00045454999999999996	0.0025131935483870965	0.0009404482758620691	1.0
0.0007257075471698114	0.0	0.003630601769911505	0.0	0.0008547166666666668	0.0028949677419354844	0.0004421034482758621	1.0
0.0004858867924528302	0.00021459999999999998	0.00022789380530973451	0.0025035555555555553	7.153333333333333e-05	0.00028199999999999997	0.0004994999999999999	1.0
0.00020072641509433963	0.0	0.002636088495575221	0.0	0.0007092333333333334	0.0021501612903225805	0.00018342241379310347	1.0
0.00042882075471698113	0.00113635	0.005832716814159292	0.001262611111111111	0.0011363666666666667	0.005277645161290322	0.0003918448275862069	1.0
0.0005896226415094339	0.00078125	0.006498893805309734	0.0	0.0009114583333333333	0.0045362903225806455	0.00013469827586206896	1.0
